Сегмент;Субсидии;Компания сегмента;Банк;вид кредита;Проект;Область;Номер;Тело кредита;Дата выдачи;Валюта;Дата погашения;Долг/Кратк;привлеч;погашен;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен;% ставка;% субсидии;% Эффективная;Сумма;субсидируемая сумма;привлеч;погашен
Holding;Нет;ПАО Группа Черкизово;Облигационный займ;не субс;Bonds, КС+1,35%;;Реш.о вып.облиг ;7 000 000;30.07.2024;RUR;15.07.2027;LT;0,00; -   ;;;15,20%;0,00%;0,00%;-;-;;;15,20%;0,00%;0,00%;-;-;;;15,20%;0,00%;0,00%;-;-;;;15,20%;0,00%;0,00%;-;-;;;15,20%;0,00%;0,00%;-;-;;;15,20%;0,00%;0,00%;-;-;7 000 000;;19,35%;0,00%;19,35%;7 000 000;-;;;19,35%;0,00%;19,35%;7 000 000;-;;;20,35%;0,00%;20,35%;7 000 000;-;;;22,35%;0,00%;22,35%;7 000 000;-;;;22,35%;0,00%;22,35%;7 000 000;-;;;22,35%;0,00%;22,35%;7 000 000;-;7 000 000;0,00
Poultry;да;"АО ""Уралбройлер""";Альфа-Банк ;1528;;;0HIV1L;267 000;19.12.2024;RUR;18.12.2025;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;267 000;;12,50%;0,00%;12,50%;267 000;267 000;267 000;0,00
Poultry;да;"АО ""Уралбройлер""";Сбербанк;1528;;Челябинск;№ 160B00UT9MF;333 000;02.04.2024;RUR;02.04.2025;ST; -   ; -   ;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;;;6,80%;0,00%;0,00%;-;-;268 125;;6,80%;0,00%;6,80%;268 125;268 125;64 875;;6,80%;0,00%;6,80%;333 000;333 000;;;6,80%;0,00%;6,80%;333 000;333 000;;;7,40%;0,00%;7,40%;333 000;333 000;;;7,40%;0,00%;7,40%;333 000;333 000;;;7,70%;0,00%;7,70%;333 000;333 000;;;8,30%;0,00%;8,30%;333 000;333 000;;;8,30%;0,00%;8,30%;333 000;333 000;;;8,30%;0,00%;8,30%;333 000;333 000;333 000;0,00
Poultry;да;"АО ""Уралбройлер""";Сбербанк;1528;;Челябинск;№ 160B01AD0MF;100 000;26.05.2025;RUR;25.05.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;"АО ""Уралбройлер""";Сбербанк;1528;;Челябинск;№ 160B019WHMF;100 000;26.05.2025;RUR;25.05.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;"АО ""Уралбройлер""";Сбербанк;1528;;Челябинск;№ 160B01ADCMF;50 000;26.05.2025;RUR;25.05.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;"АО ""Уралбройлер""";Сбербанк;1528;;Челябинск;№ 160B01ADBMF;50 000;26.05.2025;RUR;25.05.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;"АО ""Уралбройлер""";Сбербанк;1528;;Челябинск;№ 160B01C1IMF;200 000;01.08.2025;RUR;31.07.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;"АО ""Уралбройлер""";Сбербанк;1528;;Челябинск;№ 160B01C21MF;100 000;01.08.2025;RUR;31.07.2026;ST; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,00%;0,00%;0,00%;-;-;;;12,50%;0,00%;0,00%;-;-;-;0,00
Poultry;да;Уральская Мясная Компания;Россельхозбанк;Other subs;;;№ 241500/0159;2 950 000;15.10.2024;RUR;14.10.2032;LT; -   ; -   ;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;-;;10,00%;0,00%;0,00%;-;-;;;10,00%;0,00%;0,00%;-;-;;;11,00%;0,00%;0,00%;-;-;-;;12,50%;0,00%;0,00%;-;-;-;0,00
